Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
1;20,00;6;4;1;23,77;660;0;1;14,67;3,12;0,46
1;20,00;7;4;2;23,77;660;0;1;21,91;5,70;
1;20,00;6;4;1;23,77;660;0;1;11,69;5,22;
1;20,00;6;4;2;23,77;660;0;1;14,36;3,72;0,24
1;20,00;10;3;3;11,90;480;1;1;15,48;3,84;
1;20,00;9;4;1;14,93;500;0;1;20,05;3,06;0,30
1;20,00;9;3;3;10,68;520;0;1;51,80;8,16;
1;20,00;6;4;1;23,77;660;0;;51,11;7,50;
1;20,00;6;4;1;23,77;660;0;;33,19;6,12;0,29
1;20,00;6;4;1;23,77;660;0;;27,56;7,68;
